V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_IT,Phi_NEXU[Gbps],method1_times[s],method1_peak_RAMs[MB],method1_results[Gbps],method2_time[s],method2_attempts,method2_peak_RAM[MB]
36,5,uniform,10.000000000000007,5.150421179302045,556.2454873646205,7.540613718411551,737.6660682226213,"[0.526029109954834, 0.7538175582885742]","[0.344068, 0.754568]","[556.2454873646207, 713.3333333333333]",4.689779758453369,600,0.145758
36,5,shift_1,10.0,1.6666666666666667,180.0,2.890625,622.7027027027027,"[0.45058202743530273, 0.6708564758300781]","[0.33716, 0.843128]","[180.0, 180.0]",0.9977004528045654,611,0.068743
36,5,shift_quater,9.999999999999998,1.1111111111111112,120.00000000000003,3.3333333333333353,359.9999999999998,"[0.45707178115844727, 0.672008752822876]","[0.33716, 0.8089]","[120.0, 120.0]",0.11820268630981445,117,0.03308
36,5,shift_half,10.0,1.6666666666666667,180.0,4.765625,377.7049180327869,"[0.50394606590271, 0.6684789657592773]","[0.337136, 0.756464]","[180.0, 180.0]",0.521247386932373,602,0.1332
36,5,diagonal_1,10.0,3.3333333333333335,360.0,4.6875,768.0,"[0.4425945281982422, 0.6616127490997314]","[0.33716, 0.814008]","[360.0, 360.0]",0.6853995323181152,611,0.06224
36,5,diagonal_quater,10.0,1.9047619047619047,205.7142857142857,5.089285714285712,404.21052631578965,"[0.4483754634857178, 0.6541213989257812]","[0.33716, 0.754]","[205.7142857142857, 180.0]",0.8515636920928955,600,0.144636
