V,D,EPR,traffic,Phi
18,5,3,uniform,316.4928909952607
32,6,3,uniform,663.8589923568861
50,7,4,uniform,1069.1244168179694
98,11,6,uniform,3446.9193187573273
128,12,6,uniform,4944.0418417694555
162,13,7,uniform,6963.701873656033
