V,D,ECMP_ASP,ECMP_APST_4,Nexullance_MP_ASP,Nexullance_MP_APST_4
16,5,0.014189004898071289,0.0549921989440918,0.2966306209564209,0.5526878833770752
25,6,0.05086207389831543,0.2906043529510498,0.12381219863891602,2.521068811416626
36,7,0.14303064346313477,1.2251033782958984,0.41007018089294434,7.106825590133667
49,8,0.36785888671875,3.755228281021118,1.4611904621124268,20.284491300582886
64,9,0.8200242519378662,9.913301706314087,2.2495052814483643,52.425920248031616
81,10,1.6813013553619385,24.34972834587097,4.257991790771484,148.85668110847473
100,11,3.1018426418304443,54.874165773391724,9.024854898452759,479.0197334289551
