V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_IT,Phi_NEXU[Gbps],method1_times[s],method1_peak_RAMs[MB],method1_results[Gbps],method2_time[s],method2_attempts,method2_peak_RAM[MB]
16,5,uniform,10.0,6.68393519223932,320.82888922748737,7.9679643455736695,402.64850005975853,[0.05669832229614258],[0.207052],[320.8288892274875],0.7547194957733154,310,0.045697
16,5,shift_1,9.999999999999998,2.2222222222222223,106.66666666666667,3.680555555555556,289.8113207547169,[0.0540771484375],[0.198248],[106.66666666666666],0.37096190452575684,306,0.024568
16,5,shift_quater,9.999999999999998,1.5555555555555554,74.66666666666667,2.8437499999999996,262.56410256410254,[0.054033756256103516],[0.198248],[74.66666666666667],0.42371201515197754,306,0.024872
16,5,shift_half,10.000000000000002,2.857142857142857,137.14285714285714,5.357142857142858,256.0,[0.0557866096496582],[0.193264],[137.14285714285714],0.32338786125183105,306,0.02276
16,5,diagonal_1,9.999999999999998,3.8095238095238093,171.42857142857144,6.101190476190475,280.9756097560976,[0.047173261642456055],[0.205912],[171.42857142857142],0.36128711700439453,307,0.030248
16,5,diagonal_quater,10.0,2.5225225225225225,90.8108108108108,3.488175675675676,260.33898305084745,[0.04623675346374512],[0.198248],[90.8108108108108],0.3381617069244385,312,0.03396
25,6,uniform,10.000000000000004,6.158418784366176,461.881408827463,7.4158493089612145,622.8300894266174,[0.14986562728881836],[0.600816],[461.881408827463],1.0491859912872314,333,0.051352
25,6,shift_1,10.0,2.0,150.0,3.375,444.44444444444446,[0.15211701393127441],[0.595896],[150.0],0.509721040725708,306,0.044208
25,6,shift_quater,10.000000000000002,1.9607843137254903,147.05882352941177,3.2300420168067223,455.28455284552865,[0.14758610725402832],[0.60088],[147.0588235294118],0.514298677444458,315,0.041528
25,6,shift_half,10.000000000000002,2.4137931034482762,181.03448275862067,4.1142241379310365,440.02095337873214,[0.14724493026733398],[0.60088],[181.03448275862067],0.5507161617279053,310,0.05012
