V,D,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_OPT,Phi_NEXU[Gbps],init_time[s],solving_time[s],peak_RAM[MB]
6,2,0.45,0.5,30.0,0.44999999999999996,30.0,0.06512689590454102,0.005692481994628906,0.191859
36,5,20.775,10.7,556.245487364621,14.904878048780489,775.3166421207658,17.141374588012695,4.427511930465698,80.98962
114,8,85.49333333333342,45.5,2426.8558951965038,58.54339622641511,3544.0376434188465,958.1076889038086,19682.166016101837,4188.01435
