V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_IT,Phi_NEXU[Gbps],method1_times[s],method1_peak_RAMs[MB],method1_results[Gbps],method2_time[s],method2_attempts,method2_peak_RAM[MB]
16,5,uniform,10.0,6.68393519223932,320.82888922748737,8.11938138046625,395.13957307060747,"[0.042609453201293945, 0.025011539459228516, 0.028955459594726562]","[0.087428, 0.055832, 0.146424]","[320.8288892274875, 278.5185185185185, 208.88888888888883]",0.49984145164489746,347,0.064756
16,5,shift_1,9.999999999999998,2.2222222222222223,106.66666666666667,3.75,284.4444444444444,"[0.04079771041870117, 0.026371002197265625, 0.030434370040893555]","[0.08304, 0.05824, 0.147088]","[106.66666666666666, 106.66666666666666, 80.0]",0.29528164863586426,307,0.043992
16,5,shift_quater,9.999999999999998,1.5555555555555554,74.66666666666667,2.697916666666666,276.7567567567568,"[0.04073047637939453, 0.02680182456970215, 0.03210639953613281]","[0.08304, 0.058568, 0.150432]","[74.66666666666667, 80.0, 80.0]",0.33736324310302734,306,0.042728
16,5,shift_half,10.000000000000002,2.857142857142857,137.14285714285714,4.955357142857143,276.7567567567568,"[0.04092240333557129, 0.02573251724243164, 0.05974984169006348]","[0.07856, 0.05684, 0.159888]","[137.14285714285714, 160.0, 80.0]",0.31825971603393555,306,0.045784
16,5,diagonal_1,9.999999999999998,3.8095238095238093,171.42857142857144,5.7142857142857135,300.00000000000006,"[0.0408933162689209, 0.024919509887695312, 0.032378435134887695]","[0.08304, 0.05564, 0.150656]","[171.42857142857142, 150.00000000000003, 100.00000000000001]",0.3941006660461426,306,0.040768
16,5,diagonal_quater,10.0,2.5225225225225225,90.8108108108108,3.310810810810811,274.2857142857143,"[0.04060649871826172, 0.025010108947753906, 0.029574871063232422]","[0.08304, 0.055936, 0.144928]","[90.8108108108108, 120.0, 80.0]",0.26566576957702637,212,0.04764
25,6,uniform,10.000000000000004,6.158418784366176,461.881408827463,7.209094962104322,640.6926406926409,"[0.12933087348937988, 0.06644010543823242, 0.07655143737792969]","[0.227632, 0.142144, 0.378352]","[461.881408827463, 474.35897435897425, 324.56140350877195]",1.4697685241699219,486,0.130856
25,6,shift_1,10.0,2.0,150.0,3.28125,457.14285714285717,"[0.128434419631958, 0.06940174102783203, 0.10017251968383789]","[0.227504, 0.147216, 0.439496]","[150.0, 250.0, 125.0]",0.4928150177001953,308,0.04008
25,6,shift_quater,10.000000000000002,1.9607843137254903,147.05882352941177,3.0330882352941178,484.84848484848493,"[0.12821269035339355, 0.0698089599609375, 0.09669089317321777]","[0.227504, 0.146744, 0.435128]","[147.0588235294118, 250.00000000000006, 125.00000000000003]",0.5086908340454102,307,0.03956
25,6,shift_half,10.000000000000002,2.4137931034482762,181.03448275862067,4.073275862068967,444.4444444444443,"[0.1326770782470703, 0.06938910484313965, 0.08638811111450195]","[0.227504, 0.142136, 0.411624]","[181.03448275862067, 187.49999999999997, 132.35294117647058]",0.7815136909484863,314,0.057936
25,6,diagonal_1,10.0,3.3333333333333335,240.0,5.0,480.0,"[0.13611769676208496, 0.07182002067565918, 0.09373855590820312]","[0.227504, 0.142552, 0.422376]","[240.0, 240.0, 160.0]",0.5723416805267334,317,0.044864
25,6,diagonal_quater,10.0,3.3333333333333335,190.00000000000003,3.828125,496.32653061224494,"[0.13570642471313477, 0.07056117057800293, 0.09305858612060547]","[0.227504, 0.142976, 0.420488]","[190.00000000000003, 190.00000000000003, 126.66666666666669]",0.5710949897766113,306,0.04712
36,7,uniform,10.000000000000004,5.712021303575957,822.5310677149375,9.456790514836413,869.7782470960934,"[0.3182706832885742, 0.15101218223571777, 0.1752331256866455]","[0.486504, 0.2756, 0.757496]","[822.5310677149381, 715.0000000000005, 495.00000000000045]",1.4114441871643066,593,0.203768
36,7,shift_1,10.0,1.25,180.0,2.5,720.0,"[0.3742530345916748, 0.15488934516906738, 0.21696877479553223]","[0.488768, 0.289928, 0.889656]","[180.0, 180.0, 180.0]",0.7629716396331787,309,0.059184
