V,D,included_M_R,M_R_weight,Phi_ECMP_ASP,Phi_MP,time_MP[s],peak_RAM_MP[MB],Phi_IT,time_IT[s],peak_RAM_IT[MB],Phi_MD_MP,MD_MP_to_MP,Phi_MD_IT,MD_IT_to_IT,MD_IT_to_MP
31,6,shift_1,0.010869565217391304,465.0,930.0,38.91585564613342,10.7058744430542,930.0,0.03298473358154297,8.392333984375e-05,930.0,1.0,930.0,1.0,1.0
31,6,shift_2,0.010869565217391304,232.5,930.0,37.846251010894775,10.668009757995605,465.0,0.0327608585357666,6.103515625e-05,930.0,1.0,744.2633017677534,1.6005662403607601,0.8002831201803801
31,6,shift_3,0.010869565217391304,155.0,655.4775365219131,35.86397385597229,10.611834526062012,310.0,0.03278183937072754,6.103515625e-05,655.4775365218858,0.9999999999999584,496.17553451183556,1.60056624036076,0.756968022343887
31,6,shift_4,0.010869565217391304,155.0,729.913670026357,36.644766092300415,10.61182689666748,572.3076587203007,0.005595207214355469,6.103515625e-05,664.5469901204826,0.9104460121927653,511.1241620842813,0.8930933463780169,0.7002528971211414
31,6,shift_5,0.010869565217391304,155.0,743.1937082733499,38.09523391723633,10.6579008102417,465.00001108646427,0.005818843841552734,6.103515625e-05,673.8709423576701,0.906723152868535,519.7470039584796,1.117735465734936,0.6993425780823677
31,6,shift_6,0.010869565217391304,155.00000000000003,683.4602579301107,37.657060384750366,10.64509105682373,551.1111111111112,0.006562471389770508,6.103515625e-05,683.4602579301389,1.0000000000000413,522.2996809323861,0.9477211952402165,0.76419905162327
31,6,shift_7,0.010869565217391304,155.00000000000003,760.1413968985242,37.34495162963867,10.632281303405762,465.00001108646427,0.0036683082580566406,6.103515625e-05,681.2481174652655,0.89621236291675,531.4003653414131,1.1427964573587979,0.6990809440317233
31,6,shift_8,0.010869565217391304,155.0,759.936292565692,36.36675024032593,10.61939525604248,551.1111111111112,0.012392282485961914,6.103515625e-05,679.0502507715622,0.8935620754194501,525.7330025963298,0.9539510127755982,0.6918119423160505
31,6,shift_9,0.010869565217391304,155.00000000000003,676.8665201415276,35.934104919433594,10.6115140914917,551.1111111111112,0.0046160221099853516,6.103515625e-05,676.8665201414893,0.9999999999999434,505.1435091156928,0.9165910447663779,0.7462970823406528
31,6,shift_10,0.010869565217391304,155.00000000000003,759.5975178833058,36.710777044296265,10.6115140914917,465.00001108646427,0.043229103088378906,6.103515625e-05,674.8928349753747,0.8884874148299363,521.5676461680711,1.121650825232106,0.6866368489742716
31,6,shift_11,0.010869565217391304,155.0,756.2726985955303,36.682615995407104,10.611468315124512,620.0000591278133,0.0052318572998046875,6.103515625e-05,672.9306265399813,0.8897989148486741,516.0795876806529,0.8323863523604325,0.6823988075188505
31,6,shift_12,0.010869565217391304,155.00000000000003,670.9797950219626,37.52927780151367,10.652575492858887,551.1111111111112,0.005509376525878906,6.103515625e-05,670.9797950219595,0.9999999999999954,501.1046750886931,0.9092625152819027,0.7468252826782823
31,6,shift_13,0.010869565217391304,232.5,761.076278054937,37.77956199645996,10.640093803405762,465.0,0.04920005798339844,6.103515625e-05,674.4918174063106,0.8862341881553475,523.4680126872229,1.1257376616929524,0.687799669732233
31,6,shift_14,0.010869565217391304,232.5,772.4532065760728,36.760008096694946,10.627108573913574,465.0,0.04142403602600098,6.103515625e-05,678.0407982829175,0.877775886630542,529.3916198343536,1.1384766017943089,0.6853381089333571
31,6,shift_15,0.010869565217391304,155.0,681.6273241322031,36.095520973205566,10.613909721374512,551.1111111111111,0.005892276763916016,6.103515625e-05,681.6273241322781,1.0000000000001101,524.3638636105901,0.9514666880030869,0.7692823410184898
31,6,shift_16,0.010869565217391304,232.5,758.2712604558338,36.08137249946594,10.611300468444824,480.0,0.01632547378540039,6.103515625e-05,676.3092858649861,0.8919094275819232,533.1366349776314,1.1107013228700653,0.7030948722191277
31,6,shift_17,0.010869565217391304,232.5,753.3895388375488,36.48756647109985,10.61133861541748,465.0,0.014847040176391602,6.103515625e-05,671.073587569895,0.8907391899884034,528.3124341692313,1.136155772406949,0.7012473719563417
31,6,shift_18,0.010869565217391304,155.0,665.9183316148863,36.9251344203949,10.61133098602295,310.0,0.006302595138549805,6.103515625e-05,665.9183316149748,1.000000000000133,512.5059834148256,1.6532451077897599,0.7696228787875116
31,6,shift_19,0.010869565217391304,186.0,727.4548335784147,37.60997247695923,10.647303581237793,465.0,0.020083904266357422,6.103515625e-05,666.8247367950759,0.916654486320348,522.9772881715202,1.1246823401538069,0.7189137579840505
31,6,shift_20,0.010869565217391304,232.5,729.6481203041803,36.982675313949585,10.6345853805542,465.0,0.03669404983520508,6.103515625e-05,667.7336128191345,0.9151447036425797,518.1994352378027,1.114407387608178,0.7102045778200216
31,6,shift_21,0.010869565217391304,155.0,668.644969804221,36.731634855270386,10.621760368347168,566.8571428571429,0.005580902099609375,6.103515625e-05,668.6449698041573,0.9999999999999047,504.8587158909978,0.8906277750093207,0.7550475045655698
31,6,shift_22,0.010869565217391304,232.5,739.0646308923804,36.31428146362305,10.611254692077637,465.0,0.010207176208496094,6.103515625e-05,667.6935990204854,0.903430594715758,516.4333267524219,1.110609304843918,0.6987661229693223
31,6,shift_23,0.010869565217391304,232.5,733.2174421627244,36.90319561958313,10.611292839050293,465.0,0.0906064510345459,6.103515625e-05,666.7449316754607,0.9093413404198433,516.2747497233266,1.1102682789748959,0.7041222972008196
