V,D,included_M_R,M_R_weight,Phi_ECMP_ASP,Phi_MP,time_MP[s],peak_RAM_MP[MB],Phi_IT,time_IT[s],peak_RAM_IT[MB],Phi_MD_MP,MD_MP_to_MP,Phi_MD_IT,MD_IT_to_IT,MD_IT_to_MP
32,6,shift_1,0.010526315789473684,960.0,960.0,49.26721167564392,12.606653213500977,960.0,0.04180717468261719,8.392333984375e-05,960.0,1.0,960.0,1.0,1.0
32,6,shift_2,0.010526315789473684,480.0,960.0,47.05945825576782,12.566012382507324,960.0,0.042438507080078125,6.103515625e-05,960.0,1.0,874.0370018299822,0.9104552102395648,0.9104552102395648
32,6,shift_3,0.010526315789473684,320.0,751.8197903574176,45.767900466918945,12.531977653503418,640.0,0.04207563400268555,6.103515625e-05,751.8197903574567,1.000000000000052,582.6913345533214,0.9104552102395648,0.7750412293301139
32,6,shift_4,0.010526315789473684,320.0,845.7992565055762,46.137600898742676,12.52717113494873,480.0000114440921,0.033728837966918945,6.103515625e-05,730.1562129917542,0.8632736519637038,565.3438917648447,1.177799746429158,0.6684137960827322
32,6,shift_5,0.010526315789473684,320.0,830.1176470588233,45.65807390213013,12.522311210632324,480.0000114440921,0.20752668380737305,6.103515625e-05,709.7061344650161,0.8549464488311563,542.2764976571254,1.1297426765171796,0.6532525836289069
32,6,shift_6,0.010526315789473684,320.0,690.3703703703704,45.06438875198364,12.517512321472168,568.8888888888889,0.0053882598876953125,6.103515625e-05,690.3703703703451,0.9999999999999633,507.6952499921321,0.8924330566267947,0.735395480138818
32,6,shift_7,0.010526315789473684,320.0,752.542372881356,45.463428258895874,12.512713432312012,639.9999389648495,0.006417751312255859,6.103515625e-05,704.7689454394548,0.9365172923632394,525.7701789952238,0.821515983025899,0.6986585711873469
32,6,shift_8,0.010526315789473684,240.0,777.8025654827982,44.638267993927,12.507891654968262,495.48387096774195,0.013097524642944336,6.103515625e-05,719.7809158171632,0.9254031135399768,532.776460964314,1.0752649928316231,0.684976476817878
32,6,shift_9,0.010526315789473684,160.0,735.4463315757401,44.5353422164917,12.505511283874512,640.0,0.026758193969726562,6.103515625e-05,735.4463315756914,0.9999999999999337,526.5541161402984,0.8227408064692163,0.7159653852812388
32,6,shift_10,0.010526315789473684,240.0,768.0,46.11220622062683,12.505511283874512,480.0,0.00980997085571289,6.103515625e-05,700.6174932584182,0.9122623610135654,542.4497253513817,1.1301035944820452,0.7063147465512783
32,6,shift_11,0.010526315789473684,274.2857142857143,698.1818181818185,45.46858787536621,12.505465507507324,479.99998855590854,0.02934432029724121,6.103515625e-05,668.9383033418494,0.9581147573906693,544.9475948349852,1.1353075163073922,0.7805238988521921
32,6,shift_12,0.010526315789473684,320.00000000000006,640.0000000000001,45.74717950820923,12.505412101745605,512.0000000000001,0.06108260154724121,6.103515625e-05,640.0000000000654,1.000000000000102,519.6347117527164,1.014911546392024,0.8119292371136192
32,6,shift_13,0.010526315789473684,274.2857142857143,658.2857142857144,46.57824182510376,12.539164543151855,590.7692394369454,0.01203608512878418,6.103515625e-05,658.1204243239217,0.9997489084781794,540.0518968802362,0.9141503328693158,0.8203913364066087
32,6,shift_14,0.010526315789473684,240.0,677.6470588235294,46.72027564048767,12.534991264343262,480.0,0.051232337951660156,6.103515625e-05,677.2968401629189,0.9994831842681963,541.3503479350092,1.1278132248646024,0.7988677009457601
32,6,shift_15,0.010526315789473684,160.00000000000003,697.6243268926197,45.47613477706909,12.530871391296387,568.8888888888889,0.006291866302490234,6.103515625e-05,697.6243268924025,0.9999999999996886,525.0012634352453,0.9228537833822671,0.7525558430190107
32,6,shift_16,0.010526315789473684,240.0,720.0000000000001,46.38149094581604,12.526049613952637,480.0,0.022350311279296875,6.103515625e-05,696.1881063733454,0.9669279255185351,539.695404300437,1.1243654256259104,0.7495769504172735
32,6,shift_17,0.010526315789473684,320.00000000000006,718.5964912280701,46.05901288986206,12.521288871765137,639.9999389648497,0.008043766021728516,6.103515625e-05,694.7577872862864,0.9668260223466388,532.6033107994908,0.8321927524882822,0.7411715995012446
32,6,shift_18,0.010526315789473684,320.00000000000006,693.3333333333335,44.533836126327515,12.516528129577637,585.1428571428572,0.00599980354309082,6.103515625e-05,693.3333333333305,0.9999999999999958,513.735236081834,0.8779654913507905,0.7409642828103374
32,6,shift_19,0.010526315789473684,320.00000000000006,724.5283018867924,44.45387887954712,12.511767387390137,480.00001144409214,0.007782936096191406,6.103515625e-05,692.8521859819083,0.9562803608604464,531.6448853090034,1.1075934846533364,0.7337807010775308
32,6,shift_20,0.010526315789473684,240.0,711.111111111112,45.07591104507446,12.507006645202637,480.0,0.024175167083740234,6.103515625e-05,692.3717059639321,0.9736477115117783,529.9423189360732,1.1040464977834858,0.745231386003852
32,6,shift_21,0.010526315789473684,160.00000000000003,691.891891891892,44.27638268470764,12.50525951385498,320.00000000000006,0.01254582405090332,6.103515625e-05,691.8918918917519,0.9999999999997976,518.6433772192455,1.620760553810142,0.7496017561371907
32,6,shift_22,0.010526315789473684,240.0,673.6842105263158,45.499470949172974,12.505297660827637,480.0,0.05283665657043457,6.103515625e-05,673.6842105265433,1.0000000000003377,532.2648762791705,1.1088851589149384,0.7900806757268937
32,6,shift_23,0.010526315789473684,274.2857142857143,656.4102564102562,44.890037298202515,12.505290031433105,590.7692394369454,0.00711512565612793,6.103515625e-05,656.4102564102067,0.9999999999999245,531.8881905230229,0.9003315592903224,0.8102984152499179
32,6,shift_24,0.010526315789473684,320.00000000000006,640.0000000000001,46.827858209609985,12.55097484588623,320.00000000000006,0.015115022659301758,6.103515625e-05,639.9999999999142,0.9999999999998657,516.6802466587484,1.6146257708085885,0.8073128854042942
32,6,shift_25,0.010526315789473684,274.2857142857143,667.8260869565217,47.16597008705139,12.55390453338623,558.5455785124243,0.0076007843017578125,6.103515625e-05,661.8658004126728,0.9910750917637678,530.3542583007261,0.9495272699377906,0.7941502565700976
32,6,shift_26,0.010526315789473684,240.0,698.1818181818177,47.97574043273926,12.55688762664795,480.0,0.07715892791748047,6.103515625e-05,685.2785569004825,0.981518766393921,528.3348246170564,1.1006975512855341,0.7567295665088053
32,6,shift_27,0.010526315789473684,213.33333333333334,710.4084550688546,45.089927196502686,12.50525188446045,639.9999237060637,0.005065441131591797,6.103515625e-05,710.4084550688287,0.9999999999999637,517.7737189474209,0.8090215322982158,0.7288394658777492
32,6,shift_28,0.010526315789473684,320.0,738.4615384615385,46.03699350357056,12.540209770202637,495.48389535640086,0.009413003921508789,6.103515625e-05,704.4722482841493,0.9539728362181188,529.0735112430616,1.0677915391427601,0.716453713141646
32,6,shift_29,0.010526315789473684,320.00000000000006,724.5283018867925,46.11495494842529,12.536097526550293,614.3999812500007,0.008627176284790039,6.103515625e-05,698.6344258468854,0.9642610565074199,527.6242754674618,0.858763495392703,0.7282314218691529
32,6,shift_30,0.010526315789473684,320.00000000000006,692.8925619834714,46.54528498649597,12.53193187713623,568.8888888888889,0.006432294845581055,6.103515625e-05,692.8925619835348,1.0000000000000915,507.31003729634784,0.8917559249349865,0.7321626253919139
32,6,shift_31,0.010526315789473684,274.2857142857143,728.275862068963,46.391000509262085,12.527178764343262,479.99998855590854,0.04442286491394043,6.103515625e-05,694.6467203680154,0.9538236217174487,536.1666035495773,1.1170137840266359,0.7362136128284942
32,6,shift_32,0.010526315789473684,240.0,720.0000000000031,45.352105379104614,12.522425651550293,480.0,0.024019956588745117,6.103515625e-05,696.4097831102603,0.9672358098753574,550.4716423969811,1.1468159216603773,0.7645439477735816
32,6,shift_33,0.010526315789473684,213.33333333333334,698.181818181819,45.74638485908508,12.517619132995605,568.8889250578726,0.005888938903808594,6.103515625e-05,698.1818181819832,1.0000000000002351,545.0997597775929,0.9581831105644047,0.7807418434314473
32,6,shift_34,0.010526315789473684,240.0,677.6470588235264,45.084479093551636,12.512866020202637,480.0,0.03737020492553711,6.103515625e-05,677.647058823613,1.0000000000001277,547.6560262605143,1.1409500547094047,0.8081729554191652
32,6,shift_35,0.010526315789473684,274.2857142857143,658.285714285714,44.385496854782104,12.508112907409668,602.3528420559564,0.01080322265625,6.103515625e-05,658.2857142857252,1.000000000000017,546.6974116414169,0.9076032741464689,0.8304865194205556
32,6,shift_36,0.010526315789473684,320.00000000000006,640.0000000000001,44.54620814323425,12.50519847869873,568.8888888888889,0.007842302322387695,6.103515625e-05,639.9999999999465,0.9999999999999162,527.4887854661844,0.9272263807022771,0.8242012272909129
32,6,shift_37,0.010526315789473684,274.2857142857143,675.84,45.51820945739746,12.505244255065918,602.3530312860573,0.0057528018951416016,6.103515625e-05,667.0156593626477,0.9869431512823268,544.9679882393415,0.9047318763812052,0.8063565166893665
32,6,shift_38,0.010526315789473684,240.0,715.9322033898308,45.21898174285889,12.505244255065918,480.0,0.09988784790039062,6.103515625e-05,696.4126058232966,0.9727354105959869,553.7375510771235,1.1536198980773407,0.7734497043927622
32,6,shift_39,0.010526315789473684,160.00000000000003,728.5202019048489,44.69215178489685,12.505244255065918,640.0000000000001,0.5327856540679932,6.103515625e-05,728.5202019048673,1.0000000000000253,540.9936296941928,0.8453025463971761,0.7425924885537372
32,6,shift_40,0.010526315789473684,240.0,759.2452830188682,45.9027214050293,12.53962230682373,480.0,0.05097007751464844,6.103515625e-05,711.59532502035,0.9372403634711365,551.7905636926681,1.1495636743597253,0.7267619253407405
32,6,shift_41,0.010526315789473684,192.0,730.3067484662577,45.56349492073059,12.535510063171387,512.0,0.010810375213623047,6.103515625e-05,695.4389861963202,0.9522560042842758,557.0261609317681,1.0879417205698596,0.762729034205966
32,6,shift_42,0.010526315789473684,160.00000000000003,680.0000000000003,46.78087496757507,12.531344413757324,568.8888888888889,0.0063974857330322266,6.103515625e-05,679.9999999999985,0.9999999999999973,546.2060096700693,0.9601277513731686,0.8032441318677486
32,6,shift_43,0.010526315789473684,240.0,714.4186046511627,45.45305895805359,12.526591300964355,614.4,0.00809025764465332,6.103515625e-05,680.8865710560449,0.9530638852672505,559.0651111251314,0.9099367043052269,0.7825455657024951
32,6,shift_44,0.010526315789473684,192.0,698.1818181818181,45.069817543029785,12.521784782409668,480.0,0.20931005477905273,6.103515625e-05,681.7754569190512,0.9765013054830161,549.2728709160302,1.144318481075063,0.7867189557391059
32,6,shift_45,0.010526315789473684,160.0,682.6666666666657,45.46417593955994,12.5170316696167,585.1428571428571,0.006321907043457031,6.103515625e-05,682.6666666666541,0.999999999999983,524.521371031877,0.8963988274470556,0.7683418520974772
32,6,shift_46,0.010526315789473684,240.0,667.8260869565222,44.64441633224487,12.51227855682373,480.0,0.10286283493041992,6.103515625e-05,667.8260869565217,0.9999999999999993,528.0173424885514,1.100036130184482,0.790650968570096
32,6,shift_47,0.010526315789473684,192.0,653.6170212765953,44.3434898853302,12.507525444030762,614.4,0.007195711135864258,6.103515625e-05,653.6170212765959,1.0000000000000009,519.2172486306906,0.8450801572765148,0.7943753478399244
32,6,shift_48,0.010526315789473684,160.0,640.0,43.901652574539185,12.50519847869873,320.0,0.17260360717773438,6.103515625e-05,640.0000000000002,1.0000000000000004,496.8998139426332,1.5528119185707288,0.7764059592853644
32,6,shift_49,0.010526315789473684,192.0,653.6170212765959,45.4062774181366,12.505244255065918,590.7692307692307,0.006487369537353516,6.103515625e-05,653.617021276599,1.0000000000000047,525.6488693318914,0.8897702215253371,0.8042153925325161
32,6,shift_50,0.010526315789473684,240.0,667.8260869565219,45.485371828079224,12.505244255065918,480.0,0.06318140029907227,6.103515625e-05,667.8260869565271,1.0000000000000078,542.9072296522703,1.1310567284422297,0.8129470235678525
32,6,shift_51,0.010526315789473684,160.0,682.6666666666662,45.50865149497986,12.505244255065918,568.8888888888889,0.005620479583740234,6.103515625e-05,682.6666666666206,0.9999999999999332,546.6253317194676,0.9608648409131265,0.8007207007609394
32,6,shift_52,0.010526315789473684,192.0,698.1818181818173,46.426149129867554,12.539034843444824,480.0,0.05346059799194336,6.103515625e-05,681.7754569190516,0.9765013054830178,547.160520937812,1.1399177519537749,0.7836934544682213
32,6,shift_53,0.010526315789473684,240.0,714.4186046511626,45.84460783004761,12.534869194030762,614.4,0.006735086441040039,6.103515625e-05,680.8865710560378,0.9530638852672407,541.0734511379263,0.880653403544802,0.7573619270485299
32,6,shift_54,0.010526315789473684,160.0,680.0000000000003,45.80802845954895,12.530756950378418,553.5135135135135,0.0286862850189209,6.103515625e-05,680.0000000000665,1.0000000000000973,523.3201439244435,0.9454514318947466,0.7695884469477107
