V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_IT,Phi_NEXU[Gbps],method1_times[s],method1_peak_RAMs[MB],method1_results[Gbps],method2_time[s],method2_attempts,method2_peak_RAM[MB]
16,5,uniform,10.0,6.68393519223932,320.82888922748737,7.999390522626847,401.0666666666666,"[0.05555605888366699, 0.06943297386169434, 0.06981587409973145, 0.07093358039855957]","[0.084247, 0.051848, 0.052352, 0.143531]","[320.8288892274875, 278.5185185185185, 208.88888888888883, 250.66666666666663]",0.493302583694458,612,0.069551
16,5,shift_1,9.999999999999998,2.2222222222222223,106.66666666666667,3.8541666666666665,276.7567567567567,"[0.05539441108703613, 0.07200312614440918, 0.07213211059570312, 0.07442355155944824]","[0.077971, 0.05352, 0.05428, 0.143832]","[106.66666666666666, 106.66666666666666, 80.0, 106.66666666666666]",0.29518866539001465,602,0.045503
16,5,shift_quater,9.999999999999998,1.5555555555555554,74.66666666666667,2.770833333333333,269.4736842105263,"[0.055687665939331055, 0.07184076309204102, 0.07252120971679688, 0.07716941833496094]","[0.073416, 0.053912, 0.056032, 0.132416]","[74.66666666666667, 80.0, 80.0, 80.0]",0.23666119575500488,501,0.047996
16,5,shift_half,10.000000000000002,2.857142857142857,137.14285714285714,4.821428571428572,284.44444444444446,"[0.04758763313293457, 0.06216144561767578, 0.06324362754821777, 0.06524038314819336]","[0.077896, 0.052544, 0.058888, 0.148512]","[137.14285714285714, 160.0, 80.0, 160.0]",0.2236309051513672,600,0.042704
16,5,diagonal_1,10.0,3.636363636363636,174.54545454545453,5.625000000000001,310.3030303030302,"[0.04729270935058594, 0.0617978572845459, 0.06286358833312988, 0.06409668922424316]","[0.077896, 0.05168, 0.056776, 0.140784]","[174.54545454545453, 160.0, 106.66666666666666, 160.0]",0.28761768341064453,603,0.039904
16,5,diagonal_quater,10.0,2.5225225225225225,121.08108108108108,4.197635135135135,288.4507042253521,"[0.047644853591918945, 0.06150984764099121, 0.06262588500976562, 0.06338691711425781]","[0.077896, 0.051896, 0.05592, 0.141312]","[121.08108108108108, 160.0, 106.66666666666667, 128.0]",0.29428791999816895,600,0.055332
16,5,diagonal_half,10.000000000000002,2.857142857142857,137.14285714285714,4.955357142857143,276.7567567567568,"[0.047473907470703125, 0.061392784118652344, 0.06551074981689453, 0.06559610366821289]","[0.077896, 0.052544, 0.058888, 0.148512]","[137.14285714285714, 160.0, 80.0, 160.0]",0.22496747970581055,600,0.04384
25,6,uniform,10.000000000000004,6.158418784366176,461.881408827463,6.92822113241195,666.6666666666665,"[0.19096636772155762, 0.26895570755004883, 0.26748132705688477, 0.27124691009521484]","[0.222408, 0.136912, 0.13736, 0.372344]","[461.881408827463, 474.35897435897425, 324.56140350877195, 342.5925925925926]",1.5217454433441162,704,0.117068
25,6,shift_1,10.0,2.0,150.0,3.09375,484.8484848484849,"[0.18955779075622559, 0.2684364318847656, 0.27106285095214844, 0.2752561569213867]","[0.219656, 0.141008, 0.15908, 0.418512]","[150.0, 250.0, 125.0, 166.66666666666666]",0.3638184070587158,600,0.03606
25,6,shift_quater,10.000000000000002,1.9607843137254903,147.05882352941177,2.9411764705882355,500.0000000000001,"[0.19147706031799316, 0.2641589641571045, 0.2730863094329834, 0.27484130859375]","[0.219656, 0.140696, 0.156728, 0.415708]","[147.0588235294118, 250.00000000000006, 125.00000000000003, 166.66666666666669]",0.5026018619537354,603,0.032552
25,6,shift_half,10.000000000000002,2.4137931034482762,181.03448275862067,3.9224137931034493,461.53846153846143,"[0.1932227611541748, 0.267822265625, 0.26500940322875977, 0.269881010055542]","[0.219656, 0.13688, 0.142352, 0.380244]","[181.03448275862067, 187.49999999999997, 132.35294117647058, 124.99999999999997]",0.5106933116912842,602,0.1011
25,6,diagonal_1,10.0,3.3333333333333335,250.0,5.0,500.0,"[0.18959975242614746, 0.26491355895996094, 0.26591038703918457, 0.2732720375061035]","[0.219656, 0.137328, 0.151256, 0.408976]","[250.0, 250.0, 166.66666666666666, 250.0]",0.514258861541748,600,0.04468
25,6,diagonal_quater,10.0,3.3333333333333335,250.0,4.765625,524.5901639344262,"[0.18954253196716309, 0.26834774017333984, 0.26949334144592285, 0.27091503143310547]","[0.219656, 0.13672, 0.151408, 0.380632]","[250.0, 250.0, 222.22222222222223, 250.0]",0.36249327659606934,603,0.0847
25,6,diagonal_half,10.0,2.5225225225225225,189.1891891891892,3.783783783783784,499.99999999999994,"[0.19320201873779297, 0.2682371139526367, 0.2671952247619629, 0.27159595489501953]","[0.219656, 0.137144, 0.146512, 0.37992]","[189.1891891891892, 166.66666666666669, 153.84615384615384, 166.66666666666669]",0.7647140026092529,602,0.072156
36,7,uniform,10.000000000000004,5.712021303575957,822.5310677149375,7.199942936850112,1142.4133148404997,"[0.579193115234375, 0.9089004993438721, 0.8769843578338623, 0.8782246112823486]","[0.471136, 0.267256, 0.268664, 0.74768]","[822.5310677149381, 715.0000000000005, 495.00000000000045, 536.2500000000005]",3.1418800354003906,911,0.21908
36,7,shift_1,10.0,1.25,180.0,2.421875,743.2258064516129,"[0.5869846343994141, 0.8635637760162354, 0.8763542175292969, 0.8865256309509277]","[0.475112, 0.279064, 0.317832, 0.857528]","[180.0, 180.0, 180.0, 180.0]",0.61075758934021,600,0.067272
36,7,shift_quater,9.999999999999998,1.4999999999999998,216.0,2.8124999999999996,768.0,"[0.5850255489349365, 0.8575599193572998, 0.8706719875335693, 0.8753211498260498]","[0.471136, 0.272024, 0.320736, 0.817384]","[216.0, 360.0, 144.0, 180.0]",0.5769362449645996,600,0.064044
