V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_IT,Phi_NEXU[Gbps],method1_times[s],method1_peak_RAMs[MB],method1_results[Gbps],method2_time[s],method2_attempts,method2_peak_RAM[MB]
16,5,uniform,2.999999999999999,2.005180557671796,320.8288892274875,2.417815785463964,398.0810587262201,"[0.05062985420227051, 0.059230804443359375, 0.060172080993652344]","[0.084247, 0.051848, 0.144832]","[96.24866676824618, 83.55555555555553, 62.66666666666665]",0.4563155174255371,621,0.074766
16,5,shift_1,3.0,0.6666666666666666,106.66666666666667,1.15625,276.7567567567568,"[0.04868793487548828, 0.06039166450500488, 0.06217050552368164]","[0.077896, 0.053595, 0.141396]","[32.0, 32.0, 24.000000000000004]",0.1890854835510254,502,0.049271
16,5,shift_quater,2.9999999999999996,0.4666666666666666,74.66666666666667,0.8093749999999998,223.99999999999997,"[0.04703998565673828, 0.06031465530395508, 0.0633537769317627]","[0.073416, 0.053912, 0.130528]","[22.4, 23.999999999999996, 23.999999999999996]",0.22391223907470703,603,0.044696
16,5,shift_half,3.0,0.8571428571428571,137.14285714285714,1.526785714285714,269.47368421052636,"[0.048002004623413086, 0.06072235107421875, 0.06610536575317383]","[0.077896, 0.052544, 0.149696]","[41.14285714285714, 47.99999999999999, 23.999999999999996]",0.22246766090393066,600,0.045892
16,5,diagonal_1,3.0,1.0909090909090908,174.54545454545453,1.6619318181818181,315.0769230769231,"[0.047751665115356445, 0.05985903739929199, 0.06325626373291016]","[0.077896, 0.05168, 0.145672]","[52.36363636363636, 48.0, 32.0]",0.22903656959533691,605,0.03964
16,5,diagonal_quater,2.9999999999999996,0.7567567567567567,121.0810810810811,1.2770270270270265,284.44444444444457,"[0.04772305488586426, 0.05994701385498047, 0.06297516822814941]","[0.077896, 0.051896, 0.144232]","[36.32432432432432, 48.0, 32.0]",0.23358678817749023,600,0.05752
25,6,uniform,3.000000000000001,1.847525635309853,461.881408827463,2.1311301827909053,650.1922020867654,"[0.18999028205871582, 0.2599790096282959, 0.2620062828063965]","[0.222408, 0.136912, 0.373044]","[138.5644226482389, 142.3076923076923, 97.36842105263159]",1.0671882629394531,708,0.132872
25,6,shift_1,3.0,0.6,150.0,0.984375,450.0,"[0.19113469123840332, 0.2598392963409424, 0.28180718421936035]","[0.219656, 0.141008, 0.42796]","[45.0, 75.0, 37.5]",0.40605616569519043,600,0.043928
25,6,shift_quater,3.0,0.588235294117647,147.05882352941174,0.9650735294117643,441.17647058823525,"[0.19280219078063965, 0.26035571098327637, 0.2719743251800537]","[0.219656, 0.140696, 0.423508]","[44.11764705882354, 75.00000000000001, 37.50000000000001]",0.39975500106811523,600,0.035536
25,6,shift_half,3.0000000000000004,0.7241379310344829,181.03448275862067,1.1767241379310343,461.53846153846166,"[0.19138288497924805, 0.2573971748352051, 0.26264095306396484]","[0.219464, 0.13688, 0.3664]","[54.310344827586206, 56.25000000000001, 39.70588235294118]",0.38896727561950684,601,0.097216
25,6,diagonal_1,3.0,1.0,250.0,1.5,500.0,"[0.19095683097839355, 0.2588644027709961, 0.2657489776611328]","[0.219632, 0.137328, 0.413872]","[75.0, 75.0, 50.0]",0.5116338729858398,602,0.03672
25,6,diagonal_quater,3.0,1.0,250.0,1.5078125000000002,497.4093264248704,"[0.1922605037689209, 0.25676417350769043, 0.2685701847076416]","[0.219632, 0.13672, 0.413768]","[75.0, 75.0, 66.66666666666667]",0.4310343265533447,600,0.055688
36,7,uniform,3.0000000000000004,1.713606391072787,822.5310677149378,2.282811311184377,1080.944881889764,"[0.5883967876434326, 0.8418574333190918, 0.837533712387085]","[0.471136, 0.26732, 0.747528]","[246.75932031448156, 214.50000000000017, 148.50000000000014]",2.7304487228393555,959,0.230504
36,7,shift_1,3.0,0.375,180.0,0.75,540.0,"[0.5894601345062256, 0.8512964248657227, 0.8704123497009277]","[0.471136, 0.278744, 0.872196]","[54.0, 54.0, 54.0]",0.5902493000030518,602,0.05634
36,7,shift_quater,2.999999999999999,0.4499999999999999,216.0,0.8718749999999998,647.9999999999998,"[0.5865228176116943, 0.8414154052734375, 0.8711605072021484]","[0.47504, 0.272472, 0.879872]","[64.79999999999997, 107.99999999999994, 43.19999999999998]",0.5924103260040283,602,0.069544
36,7,shift_half,2.9999999999999996,0.6749999999999999,324.0,1.3078124999999998,743.2258064516129,"[0.6030325889587402, 0.84916090965271, 0.8724331855773926]","[0.471136, 0.298248, 0.88792]","[97.19999999999999, 107.99999999999999, 53.99999999999999]",0.620347261428833,601,0.06216
36,7,diagonal_1,3.000000000000001,0.7086614173228346,340.15748031496054,1.262303149606299,808.4210526315791,"[0.6561875343322754, 0.8704473972320557, 0.8978290557861328]","[0.471136, 0.26828, 0.829968]","[102.04724409448826, 108.00000000000006, 70.05405405405409]",0.632549524307251,603,0.06688
36,7,diagonal_quater,2.9999999999999996,0.5950881612090679,285.64231738035267,1.1529833123425692,743.2258064516129,"[0.6076071262359619, 0.8725433349609375, 0.9067986011505127]","[0.471136, 0.267896, 0.842416]","[85.69269521410575, 107.99999999999999, 60.27906976744185]",0.6253082752227783,602,0.067016
49,8,uniform,3.000000000000003,1.990485203771626,1300.4503331307942,2.462587463640537,1584.2487046632125,"[1.656031608581543, 2.4503257274627686, 2.530334234237671]","[0.971456, 0.533104, 1.4783]","[390.1350999392387, 341.2500000000002, 217.15909090909096]",1.7456021308898926,1184,0.420139
49,8,shift_1,3.0000000000000004,0.36000000000000004,235.19999999999996,0.6300000000000001,705.6,"[1.7105457782745361, 2.4784369468688965, 2.5338099002838135]","[0.966016, 0.554416, 1.86024]","[70.56, 73.5, 73.5]",0.9884965419769287,601,0.105552
49,8,shift_quater,3.0,0.5901639344262295,385.5737704918033,0.9959016393442622,1156.72131147541,"[1.6417605876922607, 2.4733757972717285, 2.5098674297332764]","[0.971456, 0.533888, 1.636684]","[115.672131147541, 117.60000000000001, 69.17647058823529]",1.0252671241760254,606,0.102512
49,8,shift_half,3.0,0.7142857142857142,466.6666666666666,1.0714285714285714,1306.6666666666665,"[1.6275477409362793, 2.4515902996063232, 2.5088086128234863]","[0.966016, 0.5356, 1.693256]","[139.99999999999997, 146.99999999999997, 103.76470588235293]",1.1204864978790283,614,0.09692
49,8,diagonal_1,3.0,0.6,392.0,0.8999999999999999,1176.0,"[1.660722255706787, 2.4607527256011963, 2.5083343982696533]","[0.971456, 0.535616, 1.705192]","[117.6, 147.0, 117.6]",1.3742666244506836,625,0.091936
49,8,diagonal_quater,3.0,0.8888888888888887,580.7407407407406,1.4374999999999998,1211.9806763285023,"[1.631805658340454, 2.444239616394043, 2.476524829864502]","[0.966016, 0.53272, 1.503644]","[174.22222222222217, 146.99999999999997, 83.99999999999999]",0.8589675426483154,611,0.278156
64,9,uniform,3.000000000000004,1.8286439970666577,1950.5535968710994,3.231207493837169,1810.9826749826764,"[3.894312858581543, 5.945497512817383, 5.954892873764038]","[1.821496, 0.867296, 2.43724]","[585.166079061331, 395.1483870967748, 275.27191011235976]",2.515876054763794,1249,0.314092
64,9,shift_1,3.0,0.3,320.0,0.5625,960.0,"[3.8595685958862305, 5.923024892807007, 6.148175954818726]","[1.821496, 0.898968, 3.263976]","[96.0, 96.0, 96.0]",1.2738616466522217,646,0.15558
