V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_IT,Phi_NEXU[Gbps],method1_times[s],method1_peak_RAMs[MB],method1_results[Gbps],method2_time[s],method2_attempts,method2_peak_RAM[MB]
16,5,uniform,2.999999999999999,2.005180557671796,320.8288892274875,2.309824013408502,416.6926406926407,"[0.05235481262207031, 0.06458401679992676]","[0.084247, 0.143592]","[96.24866676824618, 83.55555555555553]",0.6898074150085449,600,0.06441
16,5,shift_1,3.0,0.6666666666666666,106.66666666666667,1.1666666666666665,274.28571428571433,"[0.05017709732055664, 0.06570053100585938]","[0.077896, 0.139996]","[32.0, 32.0]",0.2327742576599121,600,0.046167
16,5,shift_quater,2.9999999999999996,0.4666666666666666,74.66666666666667,0.8093749999999998,223.99999999999997,"[0.050701141357421875, 0.0657048225402832]","[0.073491, 0.127108]","[22.4, 23.999999999999996]",0.24858403205871582,601,0.044636
16,5,shift_half,3.0,0.8571428571428571,137.14285714285714,1.486607142857143,276.7567567567567,"[0.05611681938171387, 0.06699085235595703]","[0.077896, 0.138024]","[41.14285714285714, 47.99999999999999]",0.23695063591003418,600,0.045788
16,5,diagonal_1,3.0,1.0909090909090908,174.54545454545453,1.6619318181818181,315.0769230769231,"[0.05012941360473633, 0.06502413749694824]","[0.077896, 0.136312]","[52.36363636363636, 48.0]",0.24554705619812012,605,0.022272
16,5,diagonal_quater,2.9999999999999996,0.7567567567567567,121.0810810810811,1.2592905405405403,288.4507042253521,"[0.05015206336975098, 0.06644296646118164]","[0.077896, 0.137304]","[36.32432432432432, 48.0]",0.2694568634033203,601,0.049772
25,6,uniform,3.000000000000001,1.847525635309853,461.881408827463,2.0222915737851106,685.1851851851847,"[0.21446013450622559, 0.35947155952453613]","[0.22336, 0.37244]","[138.5644226482389, 142.3076923076923]",1.2051258087158203,648,0.110876
25,6,shift_1,3.0,0.6,150.0,0.9562499999999999,450.0,"[0.26616740226745605, 0.2811448574066162]","[0.2196, 0.376776]","[45.0, 75.0]",0.3739302158355713,600,0.077288
25,6,shift_quater,3.0,0.588235294117647,147.05882352941174,0.9099264705882351,441.17647058823525,"[0.2035369873046875, 0.28117918968200684]","[0.2196, 0.376652]","[44.11764705882354, 75.00000000000001]",0.3490123748779297,507,0.075296
25,6,shift_half,3.0000000000000004,0.7241379310344829,181.03448275862067,1.1314655172413794,479.99999999999994,"[0.205963134765625, 0.2794322967529297]","[0.2196, 0.369812]","[54.310344827586206, 56.25000000000001]",0.4117157459259033,600,0.090476
25,6,diagonal_1,3.0,1.0,250.0,1.5,500.0,"[0.20418977737426758, 0.28281426429748535]","[0.219656, 0.370464]","[75.0, 75.0]",0.5100588798522949,600,0.065168
25,6,diagonal_quater,3.0,1.0,250.0,1.40625,533.3333333333334,"[0.2040853500366211, 0.2785167694091797]","[0.219656, 0.368704]","[75.0, 75.0]",0.39574718475341797,602,0.084552
36,7,uniform,3.0000000000000004,1.713606391072787,822.5310677149378,2.109054019781891,1170.0000000000005,"[0.621466875076294, 0.9222538471221924]","[0.471136, 0.745728]","[246.75932031448156, 214.50000000000017]",3.406464099884033,783,0.188064
36,7,shift_1,3.0,0.375,180.0,0.7265625,540.0,"[0.6346466541290283, 0.9248239994049072]","[0.471136, 0.810972]","[54.0, 54.0]",0.6775779724121094,601,0.05604
36,7,shift_quater,2.999999999999999,0.4499999999999999,216.0,0.8437499999999999,647.9999999999998,"[0.6602864265441895, 0.9251234531402588]","[0.473416, 0.75594]","[64.79999999999997, 107.99999999999994]",0.608198881149292,600,0.136904
36,7,shift_half,2.9999999999999996,0.6749999999999999,324.0,1.3499999999999999,720.0,"[0.6355633735656738, 0.9293150901794434]","[0.471136, 0.837736]","[97.19999999999999, 107.99999999999999]",0.5795800685882568,602,0.056368
36,7,diagonal_1,3.000000000000001,0.7086614173228346,340.15748031496054,1.2401574803149604,822.857142857143,"[0.6245129108428955, 0.9035274982452393]","[0.471136, 0.74624]","[102.04724409448826, 108.00000000000006]",0.6782422065734863,603,0.13866
36,7,diagonal_quater,2.9999999999999996,0.5950881612090679,285.64231738035267,1.041404282115869,822.8571428571428,"[0.630983829498291, 0.9118514060974121]","[0.471136, 0.746688]","[85.69269521410575, 107.99999999999999]",0.6500375270843506,601,0.143868
49,8,uniform,3.000000000000003,1.990485203771626,1300.4503331307942,2.217604669330183,1759.2635212888379,"[1.7280919551849365, 2.5937037467956543]","[0.96912, 1.477192]","[390.1350999392387, 341.2500000000002]",1.4748859405517578,888,0.362224
49,8,shift_1,3.0000000000000004,0.36000000000000004,235.19999999999996,0.63,705.6,"[1.6725881099700928, 2.5533673763275146]","[0.966016, 1.513404]","[70.56, 73.5]",0.9196789264678955,600,0.251748
49,8,shift_quater,3.0,0.5901639344262295,385.5737704918033,0.9866803278688525,1156.72131147541,"[1.6304256916046143, 2.5842745304107666]","[0.966016, 1.481696]","[115.672131147541, 117.60000000000001]",0.9016811847686768,608,0.098188
49,8,shift_half,3.0,0.7142857142857142,466.6666666666666,1.0714285714285714,1306.6666666666665,"[1.6701545715332031, 2.5483546257019043]","[0.966016, 1.479248]","[139.99999999999997, 146.99999999999997]",1.058943748474121,620,0.08644
49,8,diagonal_1,3.0,0.6,392.0,0.9375,1176.0,"[1.6614315509796143, 2.5328726768493652]","[0.966016, 1.478752]","[117.6, 147.0]",1.0319509506225586,601,0.08502
49,8,diagonal_quater,3.0,0.8888888888888887,580.7407407407406,1.347222222222222,1293.1958762886597,"[1.703749418258667, 2.579254627227783]","[0.971456, 1.47532]","[174.22222222222217, 146.99999999999997]",1.007065773010254,601,0.096152
64,9,uniform,3.000000000000004,1.8286439970666577,1950.5535968710994,2.7676870841183248,2114.278317152104,"[3.9999301433563232, 6.267487287521362]","[1.8182, 2.434552]","[585.166079061331, 395.1483870967748]",1.9142208099365234,977,0.263647
64,9,shift_1,3.0,0.3,320.0,0.5625,960.0,"[3.920886516571045, 6.16648006439209]","[1.81452, 2.496188]","[96.0, 96.0]",1.2859196662902832,613,0.140084
64,9,shift_quater,2.9999999999999996,0.38048780487804873,405.8536585365853,0.7431402439024388,1217.5609756097558,"[3.9957830905914307, 6.207086563110352]","[1.81452, 2.50148]","[121.75609756097558, 191.99999999999994]",1.16176438331604,612,0.135076
64,9,shift_half,2.999999999999999,0.2769230769230769,295.3846153846155,0.519230769230769,886.1538461538462,"[3.9298555850982666, 6.172194480895996]","[1.821496, 2.602848]","[88.6153846153846, 96.0]",1.1739447116851807,611,0.139868
64,9,diagonal_1,2.999999999999999,0.5793103448275861,617.9310344827586,1.040948275862069,1780.8695652173908,"[4.0107810497283936, 6.189840316772461]","[1.821496, 2.438032]","[185.3793103448275, 191.99999999999991]",1.429804801940918,633,0.14032
64,9,diagonal_quater,2.999999999999999,0.557142857142857,594.2857142857143,1.0011160714285714,1780.869565217391,"[3.9898951053619385, 6.140260934829712]","[1.821496, 2.442756]","[178.28571428571422, 191.99999999999994]",1.056736946105957,496,0.132572
81,10,uniform,2.999999999999999,1.95797031594742,2643.259926529018,2.9760300671694604,2664.549618320612,"[8.426715612411499, 13.913438558578491]","[2.998856, 3.88676]","[792.9779779587049, 478.8878048780487]",2.385787010192871,901,0.284972
81,10,shift_1,3.0,0.3,405.0,0.4921875,1215.0,"[8.525765657424927, 13.798847675323486]","[2.999656, 4.232484]","[121.5, 121.5]",1.8163840770721436,660,0.190972
81,10,shift_quater,3.000000000000001,0.32690695725062874,441.32439228834863,0.5312238055322717,1323.9731768650463,"[8.508684396743774, 13.735681772232056]","[2.998856, 3.895668]","[132.39731768650464, 135.00000000000003]",1.8706398010253906,647,0.174344
81,10,shift_half,3.0,0.375,506.25,0.6328125,1518.75,"[8.501099586486816, 13.82920217514038]","[2.999528, 3.895228]","[151.875, 151.875]",1.8413264751434326,600,0.166196
81,10,diagonal_1,3.0,0.5684210526315789,767.3684210526318,0.8881578947368423,2302.1052631578955,"[8.425013780593872, 13.741397380828857]","[2.998856, 3.938272]","[230.2105263157895, 243.00000000000006]",1.9596822261810303,627,0.168936
81,10,diagonal_quater,3.000000000000001,0.4404844073539563,594.6539499278408,0.6607266110309343,1783.961849783523,"[8.464329719543457, 13.853103637695312]","[2.998856, 3.893448]","[178.39618497835232, 243.00000000000009]",2.016188621520996,675,0.166008
100,11,uniform,3.0000000000000044,1.8065353686383134,3613.070737276621,3.5896973664803835,3019.533711405171,"[16.89746618270874, 27.74981141090393]","[5.249536, 6.118768]","[1083.92122118299, 623.9583333333352]",3.1441588401794434,907,0.317172
100,11,shift_1,3.0,0.25,500.0,0.5156250000000001,1500.0,"[16.809232234954834, 27.686737298965454]","[5.248808, 6.703712]","[149.99999999999997, 149.99999999999997]",2.234323740005493,647,0.254476
100,11,shift_quater,3.0,0.25,500.0,0.4687500000000001,1500.0,"[16.912376642227173, 27.85098886489868]","[5.249536, 6.757192]","[149.99999999999997, 149.99999999999997]",2.3471765518188477,694,0.27116
100,11,shift_half,3.0,0.375,750.0,0.703125,2250.0,"[16.79003930091858, 27.466883420944214]","[5.248872, 6.798576]","[225.0, 300.0]",2.352571487426758,694,0.263408
100,11,diagonal_1,3.0,0.5,1000.0,0.8671875000000002,3000.0,"[16.793323040008545, 27.68965172767639]","[5.249472, 6.137124]","[299.99999999999994, 299.99999999999994]",2.210522413253784,635,0.243956
100,11,diagonal_quater,2.999999999999999,0.4583333333333333,916.666666666667,0.81640625,2750.0,"[16.827038764953613, 27.72922134399414]","[5.249368, 6.142704]","[274.9999999999999, 299.9999999999999]",2.666431188583374,684,0.242172
