V,D,traffic_pattern,Lremote_MAX_ECMP_APST4,Llocal_MAX_ECM_APST4,Phi_ECMP_APST4[Gbps],Lremote_NEXU_MP_APST4,Phi_NEXU[Gbps],init_time[s],solving_time[s],peak_RAM[MB]
16,5,uniform,4.656919945305552,2.005180557671796,206.6788089524075,2.199105176402144,437.6719576719577,0.8727884292602539,0.14535737037658691,2.709624
16,5,shift_1,1.9719973243306312,0.6666666666666666,162.27202544943606,1.0,320.0,0.8266177177429199,0.06450963020324707,4.011058
16,5,shift_quater,1.6066012098801472,0.4666666666666666,139.42476740491838,0.7636363636363634,223.99999999999997,0.8249466419219971,0.07130193710327148,4.052459
16,5,shift_half,2.5679522335249887,0.8571428571428571,160.21659829077495,1.3846153846153848,297.1428571428571,0.8969113826751709,0.06859374046325684,4.052459
16,5,diagonal_1,2.852893133374903,1.0909090909090908,183.54573380633946,1.5104895104895115,346.6666666666664,0.863976240158081,0.06368732452392578,4.082039
16,5,diagonal_quater,2.272315342320293,0.7567567567567567,159.85600082791788,1.2383292383292377,293.3333333333335,0.8009650707244873,0.06199836730957031,4.117925
25,6,uniform,3.6834131673815103,1.847525635309853,376.184849083174,1.9224253232278194,720.7792207792209,2.9583630561828613,1.0409765243530273,13.772216
25,6,shift_1,1.749432022154982,0.6,257.22634220773085,0.7938461538461542,450.0,2.987103223800659,0.24280858039855957,13.772216
25,6,shift_quater,1.5546761825625484,0.588235294117647,283.7738659256045,0.765815760266371,441.17647058823525,3.0133466720581055,0.2513735294342041,13.772216
25,6,shift_half,2.0763801657623775,0.7241379310344829,261.56262578074313,1.0862068965517242,500.0,2.973001718521118,0.24817395210266113,13.772216
25,6,diagonal_1,2.3053732718728788,1.0,325.3269260776595,1.25,600.0,3.033341407775879,0.2543449401855469,13.772216
25,6,diagonal_quater,2.5556461039379856,1.0,293.46786272337465,1.2500000000000002,599.9999999999999,3.0068345069885254,0.24665260314941406,13.772216
36,7,uniform,3.937869275552875,1.713606391072787,626.6315691239814,1.9768249276325576,1248.260869565217,9.111521244049072,3.3580081462860107,40.428966
36,7,shift_1,1.182591567846265,0.375,456.6242603804859,0.5969458832245036,540.0,9.132691621780396,0.8024961948394775,40.448799
36,7,shift_quater,1.5127099680785931,0.4499999999999999,428.37028490205125,0.7104870581305351,647.9999999999998,9.076224088668823,0.8242394924163818,40.449048
36,7,shift_half,2.0723485714325287,0.6749999999999999,469.0330639348459,1.0945945945945956,887.9999999999991,9.025085926055908,0.6864533424377441,40.449345
36,7,diagonal_1,1.9129688398844091,0.7086614173228346,533.4495887588758,1.0289122611938775,991.7973372781051,8.975888729095459,0.7817652225494385,40.449551
36,7,diagonal_quater,1.6401443434263363,0.5950881612090679,522.4704493696563,0.9006739737218302,856.9269521410579,8.92970085144043,0.7429141998291016,40.449757
49,8,uniform,3.9029329653730285,1.990485203771626,999.594672520723,1.985693873610794,1959.9999999999998,22.25870418548584,16.193299531936646,97.255774
49,8,shift_1,1.0019639065554222,0.36000000000000004,704.2169836493714,0.4974288979438657,705.6,21.9330050945282,2.0730910301208496,97.276415
49,8,shift_quater,1.4938944091957767,0.5901639344262295,774.2992438790366,0.7745859049026451,1156.72131147541,22.073827743530273,3.129117250442505,97.276678
49,8,shift_half,1.7437654195838967,0.7142857142857142,802.8602840020033,0.8804230813888428,1399.9999999999998,22.04429006576538,1.871495008468628,97.276917
49,8,diagonal_1,1.475856607314673,0.6,796.825378679394,0.7604327666151474,1176.0,22.089641571044922,1.8781006336212158,97.277123
49,8,diagonal_quater,2.121230195410832,0.8888888888888887,821.3263350632225,1.0945106132908857,1591.7819352923857,22.009181261062622,2.325523614883423,97.277123
64,9,uniform,4.015211707792371,1.8286439970666577,1457.37291492175,2.100396832445784,2785.97867803838,47.98786687850952,58.23395252227783,208.362598
64,9,shift_1,0.9406622001111986,0.3,960.0,0.47561704844325603,960.0,47.784512758255005,4.446248292922974,208.362797
64,9,shift_quater,1.281595105409143,0.38048780487804873,950.0356005347378,0.5891239198376006,1217.5609756097558,47.50718641281128,4.491501569747925,208.363035
64,9,shift_half,0.8162228478129485,0.2769230769230769,886.1538461538462,0.4364775454492582,886.1538461538462,46.921162128448486,3.5460469722747803,208.363276
64,9,diagonal_1,1.6102482650708196,0.5793103448275861,1151.2467634093334,0.8447978151487205,1853.7931034482754,47.156524896621704,4.350124359130859,208.363484
64,9,diagonal_quater,1.6094003855266834,0.557142857142857,1107.7772559832551,0.8013896138350728,1782.8571428571424,46.86816740036011,4.0871429443359375,208.363693
81,10,uniform,3.876516609381485,1.95797031594742,2045.594170910126,2.0426936372828775,3882.0210896309336,92.66897416114807,175.93059492111206,412.782134
81,10,shift_1,0.8524330175182522,0.3,1215.0,0.41882400080857857,1215.0,93.54226279258728,9.478199005126953,412.782134
81,10,shift_quater,0.8118635539693443,0.32690695725062874,1323.9731768650463,0.43782418971833775,1323.9731768650463,93.53757691383362,17.021580934524536,412.782577
81,10,shift_half,0.9211723103722763,0.375,1518.75,0.5003894330798363,1518.75,93.41210389137268,15.439782857894897,412.782823
81,10,diagonal_1,1.4055341849545555,0.5684210526315789,1637.8863550958943,0.7207767850067687,2302.1052631578955,93.0827648639679,8.594112873077393,412.782998
81,10,diagonal_quater,1.027598738988371,0.4404844073539563,1736.0490842366744,0.5432506528869142,1783.961849783523,93.21168947219849,9.958109140396118,412.783206
100,11,uniform,3.895809445283875,1.8065353686383134,2782.2747400932135,2.0996059083628342,5162.498432994859,172.64921140670776,577.9739382266998,761.041698
100,11,shift_1,0.7927495672251311,0.25,1500.0,0.39541502840932763,1500.0,174.08873510360718,22.502917051315308,761.041904
100,11,shift_quater,0.7244110687462327,0.25,1500.0,0.3938321524465434,1500.0,174.6574420928955,30.300100564956665,761.041904
100,11,shift_half,1.150379341004415,0.375,1955.8765702759304,0.5862165262547995,2250.0,175.7612180709839,13.9147310256958,761.042383
100,11,diagonal_1,1.4254977188440103,0.5,2104.5280959360725,0.725157123627078,3000.0,173.28809905052185,15.770045518875122,761.042538
100,11,diagonal_quater,1.2718505070096628,0.4583333333333333,2162.2038005596414,0.6714011248514231,2750.0,174.58390045166016,15.252243518829346,761.042722
