V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_OPT,Phi_NEXU[Gbps],init_time[s],solving_time[s],peak_RAM[MB]
16,5,uniform,2.999999999999999,2.005180557671796,320.8288892274875,2.1991051764021443,437.6719576719576,1.7796566486358643,4.049113750457764,7.083699
16,5,shift_1,3.0,0.6666666666666666,106.66666666666667,1.0,320.0,1.5713233947753906,0.1740872859954834,7.248537
16,5,shift_quater,2.9999999999999996,0.4666666666666666,74.66666666666667,0.7636363636363633,223.99999999999997,1.3634109497070312,0.12025690078735352,7.255036
16,5,shift_half,3.0,0.8571428571428571,137.14285714285714,1.3846153846153846,297.14285714285717,1.5226340293884277,0.14455723762512207,7.289222
16,5,diagonal_1,3.0,1.0909090909090908,174.54545454545453,1.5104895104895104,346.6666666666667,1.5435569286346436,0.23139119148254395,7.289222
16,5,diagonal_quater,2.9999999999999996,0.7567567567567567,121.0810810810811,1.2383292383292381,293.33333333333337,1.524672269821167,0.1584157943725586,7.289222
25,6,uniform,3.000000000000001,1.847525635309853,461.881408827463,1.92242532322782,720.7792207792207,6.549051284790039,57.79304242134094,32.116997
25,6,shift_1,3.0,0.6,150.0,0.7908127208480564,450.0,6.544810056686401,1.937056064605713,32.117343
25,6,shift_quater,3.0,0.588235294117647,147.05882352941174,0.7648609872426229,441.17647058823525,6.518134117126465,1.8850233554840088,32.117343
25,6,shift_half,3.0000000000000004,0.7241379310344829,181.03448275862067,1.0862068965517242,500.0,6.551146745681763,1.1841676235198975,32.117343
25,6,diagonal_1,3.0,1.0,250.0,1.2499999999999998,600.0000000000001,6.527858257293701,3.034327745437622,32.117343
25,6,diagonal_quater,3.0,1.0,250.0,1.2499999999999998,600.0000000000001,6.565502643585205,1.693392038345337,32.117429
36,7,uniform,3.0000000000000004,1.713606391072787,822.5310677149378,1.9768249276325576,1248.260869565217,23.329968452453613,737.4815917015076,109.870597
36,7,shift_1,3.0,0.375,180.0,0.5965662945539224,540.0,22.450575351715088,13.47658920288086,109.896077
36,7,shift_quater,2.999999999999999,0.4499999999999999,216.0,0.7095336810177406,647.9999999999998,22.75461435317993,23.59373950958252,109.896581
36,7,shift_half,2.9999999999999996,0.6749999999999999,324.0,1.0945945945945945,888.0,22.29479455947876,9.152226448059082,109.897085
36,7,diagonal_1,3.000000000000001,0.7086614173228346,340.15748031496054,1.0288316984951547,991.8750000000003,22.790199995040894,53.693915128707886,109.897085
36,7,diagonal_quater,2.9999999999999996,0.5950881612090679,285.64231738035267,0.9006739737218324,856.9269521410579,22.5358989238739,39.01293992996216,109.897253
49,8,uniform,3.000000000000003,1.990485203771626,1300.4503331307942,1.9856938736107943,1959.9999999999998,67.22747611999512,4509.515505075455,317.761805
49,8,shift_1,3.0000000000000004,0.36000000000000004,235.19999999999996,0.4974288979438661,705.6,68.00941228866577,106.11494398117065,317.766901
49,8,shift_quater,3.0,0.5901639344262295,385.5737704918033,0.7743764543377928,1156.72131147541,67.62472438812256,379.30566239356995,317.766901
49,8,shift_half,3.0,0.7142857142857142,466.6666666666666,0.8799465282844493,1399.9999999999998,68.49966382980347,496.29820251464844,317.766901
49,8,diagonal_1,3.0,0.6,392.0,0.7603831783960128,1176.0,66.58161544799805,495.71001052856445,317.766901
49,8,diagonal_quater,3.0,0.8888888888888887,580.7407407407406,1.0944226057724538,1591.9099377452508,67.89370465278625,1034.669171333313,317.766901
