V,D,traffic_pattern,Lremote_MAX_ECMP_ASP,Llocal_MAX_ECMP_ASP,Phi_ECMP_ASP[Gbps],Lremote_NEXU_IT,Phi_NEXU[Gbps],method1_times[s],method1_peak_RAMs[MB],method1_results[Gbps],method2_time[s],method2_attempts,method2_peak_RAM[MB]
50,7,uniform,10.0,9.567307692307693,1913.4615384615383,10.000000000000002,1913.4615384615379,[1.4951846599578857],[1.53102],[1913.4615384615379],4.633069753646851,0,0.020036
50,7,shift_1,10.0,1.25,250.0,2.65625,941.1764705882352,[1.4343278408050537],[1.524456],[250.0],1.139371395111084,609,0.065028
50,7,shift_quater,10.0,1.6666666666666667,333.33333333333337,2.916666666666667,1142.857142857143,[1.4525134563446045],[1.524456],[333.33333333333337],1.5291917324066162,638,0.081255
50,7,shift_half,10.0,2.5,500.0,4.84375,1032.258064516129,[1.4303867816925049],[1.531496],[500.0],0.9814670085906982,602,0.240424
50,7,diagonal_1,10.0,2.5,490.0,4.375,1120.0,[1.4222967624664307],[1.524456],[490.0],1.0727765560150146,600,0.070424
50,7,diagonal_quater,10.0,2.0,300.0,2.71875,1103.448275862069,[1.4243948459625244],[1.524456],[300.0],0.854849100112915,601,0.262404
